# One clue per answer, written once and reused by every grid that needs the
# word. A puzzle is the grid; the clues are this table. Answers are the only
# vocabulary the generator may use, so every generated puzzle is clued by
# construction and nothing ships with a blank clue.
#
# ANSWER<tab>clue
ACE	Card above a king
ACT	Part of a play
ADD	Put numbers together
AGE	Years behind you
AGO	In the past
AID	Help given
AIM	Point at a target
AIR	What you breathe
ANT	Small hill builder
APE	Tailless climber
ARC	Curved path
ARM	Shoulder to hand
ART	What a gallery hangs
ASH	What a fire leaves
ASK	Put a question
AXE	Tool for splitting logs
BAG	Carried by its handles
BAR	Where drinks are poured
BAT	Swung at a ball
BAY	Curve of coast
BED	Where you sleep
BEE	Hive worker
BET	Wager
BIN	Rubbish goes in it
BOW	Bend at the waist
BOX	Cardboard container
BOY	Young lad
BUD	Flower before it opens
BUS	Public road vehicle
CAB	Taxi
CAP	Peaked hat
CAR	Four wheels and a driver
CAT	Purring pet
COW	Gives milk
CRY	Shed tears
CUP	Tea is drunk from it
CUT	Slice through
DAM	Holds back a river
DAY	Sunrise to sunset
DEN	Animal's home
DIG	Turn over soil
DOG	Faithful barker
DOT	Small round mark
DRY	Without water
DUE	Expected to arrive
EAR	Hears with it
EAT	Have a meal
EEL	Long slippery fish
EGG	Laid in a nest
ELM	Broad shade tree
END	Final part
ERA	Stretch of history
EYE	Organ of sight
FAN	Keeps a room cool
FAR	A long way off
FEE	Charge for a service
FIG	Sweet soft fruit
FIN	Fish's steering flap
FIR	Evergreen tree
FIT	The right size
FIX	Put right
FLY	Travel by air
FOG	Thick low cloud
FOX	Red-coated raider
FUN	Good time
FUR	Animal's coat
GAP	Space between
GAS	Fuel for a hob
GEM	Cut stone
GUM	Chewed, not swallowed
HAT	Worn on the head
HAY	Dried grass
HEN	Lays the eggs
HIP	Joint above the leg
HIT	Strike
HOE	Weeding tool
HOT	Straight from the oven
HUB	Centre of a wheel
HUT	Small rough shelter
ICE	Frozen water
ILL	Not well
INK	A pen runs out of it
INN	Old roadside lodging
ION	Charged particle
IVY	Wall climber
JAM	Spread on toast
JAR	Screw-top pot
JAW	Holds the teeth
JET	Fast aircraft
JOB	Paid work
JOY	Great delight
JUG	Pours the milk
KEY	Opens a lock
KID	Young goat
KIT	Everything you need
LAB	Where experiments run
LAP	Once round the track
LAW	Passed by parliament
LEG	You stand on two
LID	Covers a pot
LIE	Untruth
LIP	Edge of the mouth
LOG	Sawn piece of trunk
LOT	A great deal
MAN	Grown male
MAP	Shows the way
MAT	Wipe your feet on it
MIX	Stir together
MUD	Wet earth
MUG	Holds the tea
NET	Catches the fish
NEW	Just made
NOD	Agree without speaking
NOT	Word of denial
NOW	At this moment
NUT	Cracked for its kernel
OAK	Acorn tree
OAR	Rows the boat
OAT	Porridge grain
ODD	Not even
ODE	Poem of praise
OIL	Lubricates the chain
OLD	Far from new
ONE	First number
OUR	Belonging to us
OUT	Not at home
OWL	Night hunter
OWN	Belong to you
PAD	Block of writing paper
PAN	Fried in it
PAW	Cat's foot
PAY	Hand over money
PEA	Green pod seed
PEG	Holds the washing
PEN	Writes in ink
PET	Kept for company
PIE	Filling under pastry
PIG	Farmyard grunter
PIN	Holds the cloth
PIT	Deep hole
POT	Plant sits in it
PUT	Place down
RAG	Torn cloth
RAT	Long-tailed rodent
RAW	Not cooked
RAY	Line of light
RED	Colour of a stop light
RIB	Curved chest bone
RIM	Edge of a cup
ROD	Long thin bar
ROW	Line of seats
RUB	Polish by hand
RUG	Small carpet
RUN	Move at speed
SAW	Cuts the timber
SEA	Salt water
SEE	Take in with the eyes
SET	Put in place
SHY	Slow to speak up
SIP	Drink a little
SIT	Take a seat
SIX	Half a dozen
SKY	Above the clouds
SON	Boy of the family
SPA	Where you take the waters
SUM	Answer to an addition
SUN	Star we orbit
TAG	Label on a coat
TAN	Colour of light leather
TAP	Water comes from it
TAR	Black road dressing
TAX	Paid to the state
TEA	Brewed in a pot
TEN	Fingers on two hands
TIE	Worn at the collar
TIN	Food keeps in it
TIP	Point of a pen
TOE	End of the foot
TON	Heavy weight
TOP	Highest part
TOY	Played with
TRY	Make an attempt
TUB	Bath
TWO	A pair
URN	Holds the ashes
USE	Put to work
VAN	Delivers the parcels
VAT	Large brewing tub
VET	Treats the animals
VOW	Solemn promise
WAR	Opposite of peace
WAX	Candle stuff
WAY	Route taken
WEB	Spider's work
WET	Soaked
WIG	False hair
WIN	Come first
WIT	Quick humour
YES	Word of agreement
YEW	Churchyard evergreen
ZOO	Animals on show
ABOVE	Over the top of
ACTOR	Takes a part
AGAIN	One more time
AGENT	Acts for another
ALARM	Wakes you up
ALBUM	Holds the photographs
ALIKE	Much the same
ALIVE	Not dead
ALLOW	Give leave to
ALONE	With nobody else
ALTER	Change
ANGER	Hot temper
ANGLE	Two lines meeting
ANGRY	Cross
APPLE	Falls from the tree
APRON	Worn while cooking
ARENA	Ring for a contest
ARGUE	Take opposite sides
ARISE	Get up
ASIDE	Out of the way
AWARD	Prize handed over
AWARE	Knowing about it
BACON	Fried with eggs
BADLY	Not at all well
BAKER	Makes the bread
BASIC	Simple and plain
BEACH	Sand by the sea
BEGIN	Make a start
BELOW	Under
BENCH	Long seat
BIRTH	Coming into the world
BLACK	Colour of coal
BLAME	Lay the fault on
BLANK	Nothing written on it
BLIND	Unable to see
BLOCK	Get in the way of
BLOOD	Runs in the veins
BOARD	Flat plank
BONUS	Extra payment
BRAIN	Thinks with it
BRAND	Maker's name
BRASS	Yellow metal mix
BRAVE	Facing danger
BREAD	Cut into slices
BREAK	Snap in two
BRICK	Baked building block
BRIEF	Not lasting long
BRING	Fetch here
BROAD	Wide
BROWN	Colour of soil
BRUSH	Sweeps the floor
BUILD	Put up
BUNCH	Grapes come in one
CABIN	Small wooden house
CABLE	Thick wire
CANAL	Cut waterway
CANDY	Sweet
CARGO	What a ship carries
CARRY	Take with you
CATCH	Take in the hand
CAUSE	Reason for it
CHAIN	Links joined
CHAIR	You sit on it
CHALK	Writes on a board
CHARM	Winning manner
CHART	Table of figures
CHASE	Run after
CHEAP	Costs little
CHECK	Look it over
CHEST	Trunk of the body
CHIEF	Head of the tribe
CHILD	Young person
CLAIM	Say it is yours
CLASS	Taught together
CLEAN	Free of dirt
CLEAR	Easy to see through
CLIFF	Steep rock face
CLIMB	Go up
CLOCK	Tells the time
CLOSE	Shut
CLOTH	Woven material
CLOUD	Rain comes from it
COACH	Trains the team
COAST	Where land meets sea
